Scene Triangle Report - CarScene
Generated: 2026-04-10 16:01:31
Total Triangles: 54,695
Renderable Objects: 79
Unique Mesh Assets: 6

Top 20 Objects
Triangles	Type	Active	Enabled	Mesh	Object Path
361	MeshFilter	True	True	Object_6	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_10
336	MeshFilter	True	True	Object_15	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_19
305	MeshFilter	True	True	Object_25	Car_reduced/root/GLTF_SceneRootNode/door_left_1/Object_30
305	MeshFilter	True	True	Object_45	Car_reduced/root/GLTF_SceneRootNode/door_right_7/Object_56
294	MeshFilter	True	True	infrastructure-building-parking-lot	Parking lot/infrastructure-building-parking-lot
294	MeshFilter	True	True	infrastructure-building-parking-lot	Parking lot/infrastructure-building-parking-lot (1)
272	MeshFilter	True	True	Object_35	Car_reduced/root/GLTF_SceneRootNode/bootlid_2/Object_41
236	MeshFilter	False	True	VRC_billboard1	SceneDescriptionBlock
228	MeshFilter	True	True	Object_24	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_28
202	MeshFilter	True	True	Object_27	Car_reduced/root/GLTF_SceneRootNode/door_left_1/Object_32
202	MeshFilter	True	True	Object_47	Car_reduced/root/GLTF_SceneRootNode/door_right_7/Object_58
173	MeshFilter	True	True	Object_31	Car_reduced/root/GLTF_SceneRootNode/door_left_1/Object_36
173	MeshFilter	True	True	Object_51	Car_reduced/root/GLTF_SceneRootNode/door_right_7/Object_62
164	MeshFilter	True	True	two-lane-linear-road-piece	Road/two-lane-linear-road-piece
154	MeshFilter	True	True	Object_32	Car_reduced/root/GLTF_SceneRootNode/bootlid_2/Object_38
144	MeshFilter	True	True	Object_12	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_16
131	MeshFilter	True	True	Object_3	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_7
96	MeshFilter	True	True	Object_30	Car_reduced/root/GLTF_SceneRootNode/door_left_1/Object_35
96	MeshFilter	True	True	Object_50	Car_reduced/root/GLTF_SceneRootNode/door_right_7/Object_61
